timestamp,mouseMovements,avgTypingSpeed,clicks,keypresses,Result
2024-08-28T17:48:25.462Z,130,0,0,0,Human
2024-08-28T17:48:26.463Z,118,0,0,0,Human
2024-08-28T17:48:27.462Z,122,0,0,0,Human
2024-08-28T17:48:28.457Z,119,0,0,0,Human
2024-08-28T17:48:29.459Z,125,0,0,0,Human
2024-08-28T17:48:30.463Z,126,0,0,0,Human
2024-08-28T17:48:31.458Z,90,0,0,0,Human
2024-08-28T17:48:32.469Z,124,0,0,0,Human
2024-08-28T17:48:33.458Z,126,0,0,0,Human
2024-08-28T17:48:34.457Z,102,0,0,0,Human
2024-08-28T17:48:35.461Z,130,0,0,0,Human
2024-08-28T17:48:36.460Z,122,0,0,0,Human
2024-08-28T17:48:37.457Z,124,0,0,0,Human
2024-08-28T17:48:38.458Z,130,0,0,0,Human
2024-08-28T17:48:39.458Z,127,0,0,0,Human
2024-08-28T17:48:40.460Z,128,0,0,0,Human
2024-08-28T17:48:41.459Z,64,0,0,0,Human
2024-08-28T17:48:42.461Z,0,0,0,0,Human
2024-08-28T17:48:43.460Z,0,0,0,0,Human
2024-08-28T17:48:44.460Z,0,0,0,0,Human
2024-08-28T17:48:45.458Z,0,0,0,0,Human
2024-08-28T17:48:46.462Z,0,0,0,0,Human
2024-08-28T17:48:47.459Z,0,0,0,0,Human
2024-08-28T17:48:48.461Z,0,0,0,0,Human
2024-08-28T17:48:49.461Z,25,0,0,0,Human
2024-08-28T17:48:50.458Z,128,11947.1,0,10,Human
2024-08-28T17:48:51.459Z,101,68.77777777777777,1,9,Human
2024-08-28T17:48:52.468Z,83,85.86666666666666,2,15,Human
2024-08-28T17:48:53.469Z,5,0,0,0,Human
2024-08-28T17:48:54.463Z,0,0,0,0,Human
2024-08-28T17:48:55.469Z,0,0,0,0,Human
2024-08-28T17:48:56.457Z,0,0,0,0,Human
2024-08-28T17:48:57.460Z,0,0,0,0,Human
2024-08-28T17:48:58.460Z,0,0,0,0,Human
2024-08-28T17:48:59.462Z,60,0,2,0,Human
2024-08-28T17:49:00.464Z,83,0,3,0,Human
2024-08-28T17:49:01.463Z,102,1303,4,7,Human
2024-08-28T17:49:02.472Z,58,67.5,2,6,Human
2024-08-28T17:49:03.466Z,6,0,0,0,Human
2024-08-28T17:49:04.465Z,0,0,0,0,Human
2024-08-28T17:49:05.457Z,59,450.375,0,8,Human
2024-08-28T17:49:06.460Z,108,47.6,0,20,Human
2024-08-28T17:49:07.462Z,73,61.411764705882355,0,17,Human
2024-08-28T17:49:08.466Z,40,34,0,5,Human
2024-08-28T17:49:09.463Z,0,0,0,0,Human
2024-08-28T17:49:10.461Z,17,0,0,0,Human
2024-08-28T17:49:11.460Z,93,0,1,0,Human
2024-08-28T17:49:12.463Z,67,0,1,0,Human
2024-08-28T17:49:13.458Z,64,0,1,0,Human
2024-08-28T17:49:14.461Z,127,0,0,0,Human
2024-08-28T17:49:15.457Z,77,0,0,0,Human
2024-08-28T17:49:16.471Z,96,0,1,0,Human
